*sentences
maganda si Kristel | Kristel is beautiful
si Ruth ay babae | Ruth is a woman
si Peter ay lalaki | Peter is a man
si Ruth ay maganda | Ruth is beautiful
si Peter ay marunong | Peter is intelligent
sina Helen at Tom ay mababait | Helen and Tomare kind
ang bata ay mabait | the kid is kind
ang aso ay mabait | the dog is good
ang babae at ang aso ay mababait | the woman and the dog are good
ang mga lalaki at ang mga aso ay mababait | the men and the dogs are good
ang mga sapatos ay malilinis | the shoes are clean
ang baro at ang sapatos ay malilinis | the dress and the shoes are clean
ang mga baro at ang mga sapatos ay maililinis | the dresses and the shoes are clean
ang Philipinas ay maliit | the Philipines is small
ang USA ay malaki | the US is big
ang Maynila ay isang lungsod ng Philipinas | Manila is a city of the Philipines
ang WashingtonDC ay punong-lungsod ng USA | WashingtonDC is the capital of the USA
ang Maynila at ang Washington ay mga lungsod | Manila and Washington are cities
ang Baguio at ang Tagaytay ay mga malalamig na lugar | Baguio and Tagaytay are cool places
sina Ruth at Peter ay magkapatid | Ruth and Peter are siblings
ang America at Aprika ay malalaki | America and Africa are big
si Peter at si Ruth ay mababait at marurunong | Peter and Ruth are kind and intelligent
sina Helen at Tom ay malilinis | Helen and Tom are clean
ang babae at si Ruth ay magaganda | the woman and Ruth are beautiful
sina Helen at Tom at ang aso ay mababait | Helen, Tom and the dog are good
ang bahay ay malaki | the house is big
malaki ang bahay | the house is big
kumakain ang aso | the dog is eating
mabait si Peter | Peter is kind
mga lungsod ang Cebu at Maynila | Cebu and Manila are cities
mga babae sina Helen | Helen and companions are women
mga hayop ang aso at pusa | the dog and the cat are animals
malaki ang simbahan | the church is big
masarap ang isda | the fish is delicious
masarap ang kape | the coffee is delicious
masarap ang pagkain | the food is delicious
bago ang silya | the chair is new
bago ang mga mesa | the tables are new
malamig ang pagkain | the food is cold
mainit ang pagkain | the food is hot
maruming mainit ang pagkain | the food is very hot
ako ay si John | i am John
ako ay lalaki | i am a man
masipag ako | i am industrious
malusog ako | i am healthy
ako ay nag-aaral | i am studying
kami ay sina John at Helen | we are John and Helen
kami ay magkapatid | we are siblings
mababait kami | we are kind
mahihirap kami | we are poor
tayo ay sina John at Mary | we are John and Mary
tayo ay magkakaibigan | we are friends
mababait tayo | we are good
masisipag tayo | we are industrious
ikaw ay si Mary | you are Mary
ikaw ay babae | you are a woman
masipag ka | you are industrious
malusog ka | you are healthy
siya ay si Peter | He is Peter
