*Subjective Pronouns

*Numbers (1-10)

*Body Parts
Ulo | Head | Masakit ang ulo ko | My head hurts
Mukha | Face | <strike> Marumi ang mukha ko | My face is dirty
Buhok | Hair | Maiksi ang buhok mo | Your hair is short
Taynga | Ear | Ang taynga ko ay marumi | My ears are dirty
Kilay | Eyebrow | Ang kilay niya ay manipis | Her/his eyebrows are thin
Mata | Eye | Gusto ko ang mata mo | I like your eyes
Ilong | Nose | Ang ilong mo ay maliit | Your nose is small
Baba | Chin | Palagi kong kinukurot ang baba ko | I am always pinching my chin
Labi | Lip | Ang labi niya ay makapa | His/Her lips are thick
Leeg | Neck | Makati ang leeg ko | My neck is itchy
Dibdib | Chest | Masakit ang dibdib ko | My chest hurts
Tiyan | Belly | Masakit ba ang tinay mo? | Does your stomach hurt?
Likod | Back | Ang likod ni Fredi ay malaki | Fredi's back is big/long
Braso | Arm | Makati ang braso ko | My arm is itchy
Siko | Elbow | Ang siko ko ay marumi | My elbow is dirty
Kamay | Hand | Masakit ba ang kamay mo? | Does your hand hurt?
Daliri | Finger | Malinis ba mga daliri mo? | Are your fingers clean?
Baywang | Hip | 
Pwet | Bootie
Binti | Leg
Tuhod | Knee
Paa | Foot


*Colors

*People Descriptors


* Fruits -> Mga prutas
Mansanas | Apple
Abukado | Avocado
Saging | Bananas
Buko | Coconuts
Ubas | Grapes
Guayabas | Guavas
Langka | Jackfruit
Dayap | Lime
Dalanghita | Mandarines
Mangga | Mango
Dalandan | Lemon
Kahel | Orange
Pinya | Pineaple
Sampalok | Tamarind 
Kamatis | Tomato
Pakwan | Watermelon

*Vegetables -> Mga gulay
Siling paro | Bell pepper
Repolyo | Cabbage
Kasoy | Cashew 
Kintsay | Celery
Sayote | Chayote
Siling labuyo | Chilli pepper
Wansuy | Cilantro
Mais | Corn
Pipino | Cucumber
Talong | Eggplant
Bawang | Garlic
Luya | Ginger
Singkamas | Jicama
Mustasa | Mustard
Sibuyas | Onion
Mani | Peanut
Patatas | Potato
Kalabasa | Pumpkin
Labanos | Radish
Alugbati | Spinach
Sitaw | Stringbeans
Palay | Rice
Kanin | Cooked Rice
Kangkong | Watercress
Kamote | Sweet potato
